CandidateID,CandidateName,Gender,YearsExperience,HomeLocation
1,Nikhil Patel,Male,1,Bangalore
2,Nikhil Nair,Male,7,Pune
3,Pooja Khan,Female,1,Chennai
4,Michael Gupta,Male,4,Remote - India
5,Emily Mehta,Female,2,Chennai
6,Pooja Iyer,Female,7,Gurgaon
7,Arjun Rao,Male,8,Hyderabad
8,Chen Bose,Male,2,Remote - India
9,Nikhil Das,Male,2,Bangalore
10,Nikhil Verma,Male,4,Remote - India
11,David Singh,Male,2,Bangalore
12,Rahul Das,Male,4,Hyderabad
13,Omar Bose,Male,3,Chennai
14,Chen Reddy,Male,6,Remote - India
15,Isha Rao,Female,6,Chennai
16,Siddharth Menon,Male,3,Gurgaon
17,Aisha Kapoor,Female,2,Hyderabad
18,Aditya Joshi,Male,8,Bangalore
19,Ananya Nair,Female,2,Hyderabad
20,Meera Menon,Female,6,Gurgaon
21,Sneha Bose,Female,6,Pune
22,Chen Singh,Male,5,Gurgaon
23,Priya Nair,Female,5,Chennai
24,Siddharth Das,Male,5,Bangalore
25,Neha Menon,Female,5,Hyderabad
26,Chen Sharma,Male,6,Chennai
27,Siddharth Gupta,Male,4,Gurgaon
28,Karan Patel,Male,3,Chennai
29,Kavya Reddy,Female,9,Remote - India
30,Arjun Sharma,Male,7,Gurgaon
31,Daniel Joshi,Male,3,Bangalore
32,Karan Kapoor,Male,6,Remote - India
33,Nikhil Verma,Male,7,Hyderabad
34,Sneha Iyer,Female,3,Chennai
35,Grace Iyer,Female,4,Gurgaon
36,Aditya Reddy,Male,1,Chennai
37,Grace Gupta,Female,6,Remote - India
38,Lin Mehta,Female,7,Gurgaon
39,Rahul Patel,Male,5,Pune
40,Michael Khan,Male,4,Gurgaon
41,Chen Nair,Male,3,Hyderabad
42,Riya Iyer,Female,3,Remote - India
43,Aarav Rao,Male,6,Gurgaon
44,Riya Sharma,Female,5,Bangalore
45,Ananya Rao,Female,6,Bangalore
46,Rohan Das,Male,4,Bangalore
47,Riya Singh,Female,4,Chennai
48,Grace Mehta,Female,0,Gurgaon
49,Isha Joshi,Female,2,Hyderabad
50,Omar Menon,Male,2,Hyderabad
51,Divya Nair,Female,8,Chennai
52,James Kapoor,Male,7,Pune
53,James Khan,Male,4,Chennai
54,Ananya Nair,Female,3,Bangalore
55,David Das,Male,0,Bangalore
56,Riya Mehta,Female,5,Hyderabad
57,Fatima Reddy,Female,0,Pune
58,Arjun Singh,Male,3,Pune
59,Riya Iyer,Female,5,Pune
60,Karan Verma,Male,4,Chennai
61,Priya Iyer,Female,5,Hyderabad
62,Meera Menon,Female,9,Pune
63,Grace Mehta,Female,6,Pune
64,Ananya Gupta,Female,1,Pune
65,Priya Bose,Female,2,Remote - India
66,Chen Patel,Male,0,Pune
67,Omar Reddy,Male,4,Hyderabad
68,Manish Mehta,Male,1,Bangalore
69,Rohan Das,Male,7,Bangalore
70,Rohan Joshi,Male,13,Gurgaon
71,Arjun Verma,Male,2,Gurgaon
72,Vivek Gupta,Male,5,Bangalore
73,Sneha Rao,Female,3,Pune
74,Divya Rao,Female,4,Gurgaon
75,Rohan Iyer,Male,5,Pune
76,Sarah Singh,Female,1,Hyderabad
77,Sarah Rao,Female,3,Remote - India
78,Aisha Reddy,Female,5,Chennai
79,Manish Khan,Male,5,Remote - India
80,Sneha Sharma,Female,3,Pune
81,Divya Iyer,Female,2,Gurgaon
82,Rahul Singh,Male,11,Hyderabad
